step,time,energy
        10,      0.0900000000,      1.2125444008
        20,      0.1800000000,      1.1376857683
        30,      0.2700000000,      1.0213025570
        40,      0.3600000000,      0.8727295205
        50,      0.4500000000,      0.7038832629
        60,      0.5400000000,      0.5283064438
        70,      0.6300000000,      0.3600815610
        80,      0.7200000000,      0.2127014353
        90,      0.8100000000,      0.0979869912
       100,      0.9000000000,      0.0251391352
       110,      0.9900000000,      0.0000007786
