step,time,energy
        10,      0.0900000000,      1.2125444348
        20,      0.1800000000,      1.1376858005
        30,      0.2700000000,      1.0213025862
        40,      0.3600000000,      0.8727295457
        50,      0.4500000000,      0.7038832835
        60,      0.5400000000,      0.5283064595
        70,      0.6300000000,      0.3600815719
        80,      0.7200000000,      0.2127014420
        90,      0.8100000000,      0.0979869945
       100,      0.9000000000,      0.0251391362
       110,      0.9900000000,      0.0000007786
