x,u
    0.000000,    0.899222
    0.010000,    0.899222
    0.020000,    0.899004
    0.030000,    0.898530
    0.040000,    0.897876
    0.050000,    0.896927
    0.060000,    0.895839
    0.070000,    0.894416
    0.080000,    0.892894
    0.090000,    0.891000
    0.100000,    0.889044
    0.110000,    0.886685
    0.120000,    0.884289
    0.130000,    0.881477
    0.140000,    0.878630
    0.150000,    0.875387
    0.160000,    0.872068
    0.170000,    0.868425
    0.180000,    0.864608
    0.190000,    0.860598
    0.200000,    0.856259
    0.210000,    0.851908
    0.220000,    0.847041
    0.230000,    0.842346
    0.240000,    0.836983
    0.250000,    0.831899
    0.260000,    0.826121
    0.270000,    0.820553
    0.280000,    0.814482
    0.290000,    0.808319
    0.300000,    0.802057
    0.310000,    0.795252
    0.320000,    0.788794
    0.330000,    0.781447
    0.340000,    0.774617
    0.350000,    0.766992
    0.360000,    0.759510
    0.370000,    0.751868
    0.380000,    0.743595
    0.390000,    0.735911
    0.400000,    0.727109
    0.410000,    0.718938
    0.420000,    0.710164
    0.430000,    0.701042
    0.440000,    0.692502
    0.450000,    0.682668
    0.460000,    0.673701
    0.470000,    0.664081
    0.480000,    0.653916
    0.490000,    0.644722
    0.500000,    0.634005
    0.510000,    0.623931
    0.520000,    0.614021
    0.530000,    0.602587
    0.540000,    0.592551
    0.550000,    0.581802
    0.560000,    0.569888
    0.570000,    0.559724
    0.580000,    0.548331
    0.590000,    0.535856
    0.600000,    0.525454
    0.610000,    0.513885
    0.620000,    0.500542
    0.630000,    0.489511
    0.640000,    0.478672
    0.650000,    0.464705
    0.660000,    0.451376
    0.670000,    0.441320
    0.680000,    0.430186
    0.690000,    0.414661
    0.700000,    0.398200
    0.710000,    0.386277
    0.720000,    0.380749
    0.730000,    0.379933
    0.740000,    0.381411
    0.750000,    0.383648
    0.760000,    0.386016
    0.770000,    0.388332
    0.780000,    0.390557
    0.790000,    0.392685
    0.800000,    0.394716
    0.810000,    0.396648
    0.820000,    0.398481
    0.830000,    0.400215
    0.840000,    0.401849
    0.850000,    0.403383
    0.860000,    0.404816
    0.870000,    0.406149
    0.880000,    0.407380
    0.890000,    0.408510
    0.900000,    0.409538
    0.910000,    0.410463
    0.920000,    0.411287
    0.930000,    0.412008
    0.940000,    0.412627
    0.950000,    0.413142
    0.960000,    0.413555
    0.970000,    0.413864
    0.980000,    0.414071
    0.990000,    0.414174
    1.000000,    0.414174
    1.010000,    0.414071
    1.020000,    0.413864
    1.030000,    0.413555
    1.040000,    0.413142
    1.050000,    0.412627
    1.060000,    0.412008
    1.070000,    0.411287
    1.080000,    0.410463
    1.090000,    0.409538
    1.100000,    0.408510
    1.110000,    0.407380
    1.120000,    0.406149
    1.130000,    0.404816
    1.140000,    0.403383
    1.150000,    0.401849
    1.160000,    0.400215
    1.170000,    0.398481
    1.180000,    0.396648
    1.190000,    0.394716
    1.200000,    0.392685
    1.210000,    0.390557
    1.220000,    0.388332
    1.230000,    0.386016
    1.240000,    0.383648
    1.250000,    0.381411
    1.260000,    0.379933
    1.270000,    0.380749
    1.280000,    0.386277
    1.290000,    0.398200
    1.300000,    0.414661
    1.310000,    0.430186
    1.320000,    0.441320
    1.330000,    0.451376
    1.340000,    0.464705
    1.350000,    0.478672
    1.360000,    0.489511
    1.370000,    0.500542
    1.380000,    0.513885
    1.390000,    0.525454
    1.400000,    0.535856
    1.410000,    0.548331
    1.420000,    0.559724
    1.430000,    0.569888
    1.440000,    0.581802
    1.450000,    0.592551
    1.460000,    0.602587
    1.470000,    0.614021
    1.480000,    0.623931
    1.490000,    0.634005
    1.500000,    0.644722
    1.510000,    0.653916
    1.520000,    0.664081
    1.530000,    0.673701
    1.540000,    0.682668
    1.550000,    0.692502
    1.560000,    0.701042
    1.570000,    0.710164
    1.580000,    0.718938
    1.590000,    0.727109
    1.600000,    0.735911
    1.610000,    0.743595
    1.620000,    0.751868
    1.630000,    0.759510
    1.640000,    0.766992
    1.650000,    0.774617
    1.660000,    0.781447
    1.670000,    0.788794
    1.680000,    0.795252
    1.690000,    0.802057
    1.700000,    0.808319
    1.710000,    0.814482
    1.720000,    0.820553
    1.730000,    0.826121
    1.740000,    0.831899
    1.750000,    0.836983
    1.760000,    0.842346
    1.770000,    0.847041
    1.780000,    0.851908
    1.790000,    0.856259
    1.800000,    0.860598
    1.810000,    0.864608
    1.820000,    0.868425
    1.830000,    0.872068
    1.840000,    0.875387
    1.850000,    0.878630
    1.860000,    0.881477
    1.870000,    0.884289
    1.880000,    0.886685
    1.890000,    0.889044
    1.900000,    0.891000
    1.910000,    0.892894
    1.920000,    0.894416
    1.930000,    0.895839
    1.940000,    0.896927
    1.950000,    0.897876
    1.960000,    0.898530
    1.970000,    0.899004
    1.980000,    0.899222
    1.990000,    0.899222
